Batch_ID,Plant_City,Production_Line,Machine_ID,Product_Category,SKU,Shift,Supervisor_ID,Batch_Start,Batch_End,Planned_Output_Units,Actual_Output_Units,Good_Units,Rework_Units,Scrap_Units,Scrap_Reason,Downtime_Minutes,Downtime_Reason,Energy_kWh,Water_Liters,Unit_Weight_kg,Material_Input_kg,Output_kg,Yield_pct,QA_Score,QA_Result,Ambient_Temp_C,Humidity_pct,Supplier,Raw_Material_Lot,Maintenance_Flag
BAT-100279,Pune, PN-01 ,MC-PN-01-6,HomeCare,Detergent_1kg,C,SUP-PU-90, 2024-09-03 02:00:00 ,2024-09-03 04:23:00,1573.0,1288.0,1233.0,13.0,42.0,Weight Out of Spec,25.0,Operator Reset,424.7,,1.02,1366.97,1270.92,92.97,81.8,Conditional Pass,28.9,44.8, ChemBlend Industries ,HMC-2409-43730,No
BAT-101500,Hyderabad,HY-02,MC-HY-02-3,Snacks,Cookies_200g,C,SUP-HY-15,2024-09-03 06:00:00,2024-09-03 07:39:00,4000.0,2849.0,2666.0,62.0,121.0,Underfill,26.0,Planned Cleaning,436.4,7361.0,0.215,643.42,586.52,91.16,83.7,Conditional Pass,24.8,45.5,GOLDENGRAIN MILLS,SNK-2409-90484,No
BAT-104477,Bengaluru,BL-03,MC-BL-03-5,Beverages, SparklingWater_500ml ,C,SUP-BE-27,2024-09-03 06:45:00, 2024-09-03 07:45:00 ,1912.0,1843.0,1772.0,41.0,30.0,Contamination Risk,0.0,No Downtime,255.5,5550.0,0.52,970.66,942.76,97.13,, Pass ,,65.9,CitrusCo Ingredients,BEV-2409-25868,No
BAT-105681,Bengaluru,BL-01,MC-BL-01-5,HomeCare,Detergent_1kg,C,SUP-BE-22,2024-09-03 07:30:00,2024-09-03 09:36:00,1816.0,1615.0,1515.0,51.0,49.0,Contamination Risk,16.0,Mechanical Jam,498.5,8284.0,1.02,1652.43,1597.32,96.66,87.7,Conditional Pass,24.1,58.7,CleanBase Materials,HMC-2409-59788,NO
BAT-105597,Bengaluru, BL-03 ,MC-BL-03-3,PersonalCare,Soap_100g,C,SUP-BE-69,2024-09-03 07:45:00,2024-09-03 08:40:00,1008.0,955.0,920.0,17.0,18.0,Damaged Pack,0.0,No Downtime,200.7,4414.0,0.11,110.28,103.07,93.46,94.5,Pass,25.2,64.4,CareChem Solutions,PSC-2409-71104,No
BAT-103492,Hyderabad,HY-01, MC-HY-01-5 ,Dairy,Yogurt_150g,A,SUP-HY-81,2024-09-03 08:15:00,2024-09-03 09:19:00,1888.0,1403.0,1327.0,,47.0,Weight Out of Spec,17.0,Operator Reset,293.4,5755.0,0.165,235.18,223.74,95.14,84.2,CONDITIONAL PASS,26.2,47.8,MilkyWay Co-op,DRY-2409-17768,No
BAT-106865, Chennai ,CH-02,MC-CH-02-6,PersonalCare,Toothpaste_150g,A,SUP-CH-96,2024-09-03 08:15:00,2024-09-03 09:19:00,1582.0,1365.0,1312.0,21.0,32.0,Damaged Pack,7.0,Sensor Calibration,,5057.0,0.19,269.03,253.27,94.14,91.9,Pass,30.6,67.6,CareChem Solutions,PSC-2409-92741,No
BAT-107388,Hyderabad,HY-02,MC-HY-02-1,Dairy,Yogurt_150g,A, SUP-HY-32 ,2024-09-03 08:15:00,2024-09-03 09:27:00,1518.0,1401.0,1341.0,14.0,46.0,Contamination Risk,7.0,Mechanical Jam,430.7,6233.0,0.165,238.68,223.58,93.67,85.5,Conditional Pass,31.7,44.3,MilkyWay Co-op,DRY-2409-61375,No
BAT-104173,Chennai,CH-03,MC-CH-03-1,Snacks, Cookies_200g , A ,SUP-CH-93,2024-09-03 10:45:00,2024-09-03 12:35:00,4442.0,4042.0,3849.0,69.0,124.0,Underfill,0.0,No Downtime,713.0,5860.0,0.215,938.86,842.37,89.72,90.7,Pass,29.2,70.4,SpiceRoute Foods,SNK-2409-76336,No
BAT-104987,Chennai,CH-01,MC-CH-01-5,PersonalCare,Soap_100g,A,SUP-CH-12,2024-09-03 13:30:00,2024-09-03 15:48:00,1979.0,1669.0,1577.0,37.0,55.0,Contamination Risk,19.0,Operator Reset,586.7,,0.11,187.93,177.54,94.47,85.2,Conditional Pass,33.3,63.9,AromaLabs,PSC-2409-35679,NO
BAT-101146,Chennai,CH-02,MC-CH-02-4,PersonalCare,Toothpaste_150g,A,SUP-CH-66,2024-09-03 13:30:00,2024-09-03 15:41:00,1836.0,1680.0,1630.0,19.0,31.0,Label Misprint,0.0,No Downtime,833.7,7056.0,0.19,322.0,313.31,97.3,92.8,Pass,30.2,61.9,CareChem Solutions,PSC-2409-23446,No
BAT-106677,Hyderabad,HY-01,MC-HY-01-6,Snacks,Chips_50g,B,SUP-HY-12,2024-09-03 18:00:00,2024-09-03 19:32:00,3034.0,2625.0,2471.0,41.0,113.0,Underfill,13.0,Power Fluctuation,262.9,6991.0,0.055,155.87,138.16,88.64,80.4,Conditional Pass,30.7,51.0,CrunchWorks,SNK-2409-57138,No
BAT-104470,Chennai,CH-04,MC-CH-04-4,HomeCare,Detergent_1kg,B,SUP-CH-30,2024-09-03 19:45:00,2024-09-03 21:56:00,2733.0,2203.0,2062.0,63.0,78.0,Underfill,24.0,Changeover,518.6,9994.0,1.02,2277.43,2167.5,95.17,82.3,Conditional Pass,33.1,81.8, CleanBase Materials ,HMC-2409-82534,No
BAT-104242,Chennai,CH-04,MC-CH-04-1,Beverages,SparklingWater_500ml,B,SUP-CH-28,2024-09-03 22:45:00,2024-09-04 00:22:00,2976.0,2850.0,2738.0,62.0,50.0,Overfill,,No Downtime,443.9,10292.0,0.52,1542.31,1456.0,94.4,92.9,Pass,34.4,73.7,TeaLeaf Traders,BEV-2409-72063,No
BAT-107379,Hyderabad,HY-02,MC-HY-02-4,PersonalCare,Shampoo_250ml,C,SUP-HY-12,2024-09-04 00:00:00,2024-09-04 01:02:00,1117.0,1123.0,,14.0,24.0,Weight Out of Spec,0.0,No Downtime,221.5,2354.0,0.28,321.21,307.72,95.8,90.7,Pass,27.3,53.7,CareChem Solutions,PSC-2409-95747,No
BAT-107095,Hyderabad,HY-01,MC-HY-01-2,Beverages,RTD_Tea_250ml,C, SUP-HY-36 ,2024-09-04 00:15:00,2024-09-04 01:18:00,2111.0,2020.0,1919.0,54.0,47.0,Damaged Pack,5.0,Mechanical Jam,209.5,4004.0,0.27,558.94,532.71,95.31,91.3,Pass,32.1,53.4,AquaPure Pvt Ltd,BEV-2409-12308,No
BAT-101638,Bengaluru,BL-01,MC-BL-01-1,HomeCare,Detergent_1kg,C,SUP-BE-82,2024-09-04 00:15:00,2024-09-04 01:18:00,715.0,724.0,700.0,11.0,13.0,Contamination Risk,0.0,No Downtime,247.4,3525.0,,753.66,725.22,96.23,96.5,Pass,28.6,59.0,ChemBlend Industries,HMC-2409-52764,No
BAT-100893,Chennai,CH-01,MC-CH-01-6,PersonalCare,SOAP_100G,C,SUP-CH-50,2024-09-04 00:30:00,2024-09-04 02:22:00,1698.0,1673.0,1604.0,24.0,45.0,Contamination Risk,0.0, No Downtime ,584.2,4438.0,0.11,193.01,179.08,92.78,91.6,Pass,29.3,62.4,HerbalEssence Supply,PSC-2409-41181,No
BAT-100547,Chennai,CH-03, MC-CH-03-1 ,Snacks,Chips_50g,C,SUP-CH-18,2024-09-04 03:45:00,2024-09-04 05:15:00,3268.0,,2385.0,44.0,105.0,Underfill,22.0,Mechanical Jam,237.3,4765.0,0.055,,133.59,91.09,78.6,Fail,,67.4,GoldenGrain Mills,SNK-2409-22484,Yes
BAT-106261,Pune,PN-02,MC-PN-02-5,HomeCare,Dishwash_500ml,C,SUP-PU-31,2024-09-04 04:45:00,2024-09-04 06:36:00,1773.0,1755.0,1681.0,46.0,28.0,Overfill,0.0,No Downtime,449.2,4884.0,0.56,991.48,967.12,97.54,94.1,Pass,25.9,43.9,ChemBlend Industries,HMC-2409-89302,No
BAT-105927,Hyderabad,HY-01,MC-HY-01-6,Beverages,SparklingWater_500ml,C,SUP-HY-57,2024-09-04 05:45:00,2024-09-04 07:49:00,3643.0,2883.0,2741.0,33.0,109.0,Overfill,28.0,Operator Reset,670.4,13763.0,0.52,1522.39,1442.48,94.75,84.9,Conditional Pass,27.8,34.6,AquaPure Pvt Ltd,BEV-2409-63808,No
BAT-103081,Bengaluru,BL-02,MC-BL-02-4,Snacks,Chips_50g,C,SUP-BE-53,2024-09-04 06:30:00,2024-09-04 07:19:00,2156.0,1918.0,1841.0,15.0,62.0,Label Misprint,7.0,Sensor Calibration,260.5,3197.0,0.055,109.23,102.08,93.45,87.6,Conditional Pass,23.2,46.5,GoldenGrain Mills,SNK-2409-82365,No
BAT-103888,Pune,PN-02,MC-PN-02-4,HomeCare, Detergent_1kg ,C,SUP-PU-25,2024-09-04 07:45:00,2024-09-04 08:58:00,,,1221.0,23.0,30.0,Damaged Pack,0.0,No Downtime,557.2,3216.0,1.02,1342.48,1268.88,,92.3,Pass,30.3,40.4,ChemBlend Industries,HMC-2409-53992,No
BAT-100062,Chennai,CH-01,MC-CH-01-2,Dairy,Milk_1L,A,SUP-CH-25,2024-09-04 08:00:00,2024-09-04 09:12:00,1528.0,1402.0,1352.0,20.0,30.0, Weight Out of Spec ,0.0,No Downtime,297.0,7886.0,1.03,1505.94,1413.16,93.84,89.0,Conditional Pass,31.3,84.4,FreshFarm Dairies,DRY-2409-55582,No
BAT-100335,Pune, PN-01 ,MC-PN-01-3,HomeCare,Detergent_1kg,A,SUP-PU-67,2024-09-04 11:30:00,2024-09-04 13:25:00,1396.0,1210.0,1147.0,29.0,34.0,Label Misprint,16.0,Mechanical Jam,712.7,8726.0,1.02,1254.69,1199.52,95.6,89.5,Conditional Pass,30.7,32.4,ChemBlend Industries,HMC-2409-64997,No
BAT-100063,Hyderabad,HY-01,MC-HY-01-2,PersonalCare,TOOTHPASTE_150G,B,SUP-HY-79,2024-09-04 16:30:00,2024-09-04 17:22:00,940.0,685.0,643.0,18.0,24.0,Seal Failure,13.0,Mechanical Jam,235.4,2828.0,0.19,135.55,125.59,92.65,83.9,Conditional Pass,26.8,47.8,AromaLabs,PSC-2409-40715,No
BAT-104866,Chennai,CH-03,MC-CH-03-2,HomeCare,Dishwash_500ml,B,SUP-CH-43,2024-09-04 16:45:00,2024-09-04 18:22:00,1130.0,1146.0,1118.0,8.0,20.0,Seal Failure,0.0,No Downtime,421.4,7094.0,0.56,664.07,630.56,94.95,95.0,Pass,32.8,58.7,ChemBlend Industries,HMC-2409-54140,No
 BAT-104846 ,Pune,PN-01,MC-PN-01-6,Dairy,Milk_1L,B,SUP-PU-33,2024-09-04 21:00:00,2024-09-04 22:42:00,3087.0,3034.0,2915.0,37.0,82.0,Overfill,0.0, No Downtime ,680.7,13912.0,1.03,3160.08,3040.56,96.22,90.1,Pass,33.6,46.3,MilkyWay Co-op,DRY-2409-66061,No
BAT-102967,Bengaluru,BL-02,MC-BL-02-5,Beverages,RTD_Tea_250ml,B,SUP-BE-42,2024-09-04 22:15:00,2024-09-05 00:22:00,3974.0,3166.0,2960.0,83.0,123.0,Overfill,22.0,Mechanical Jam,650.4,15457.0,0.27,874.4,821.61,93.96,77.8,Fail,29.7,61.3,AquaPure Pvt Ltd,BEV-2409-76306,Yes
BAT-105503,Pune,PN-01,MC-PN-01-3,Dairy,Milk_1L,B,SUP-PU-68,2024-09-04 22:45:00,2024-09-05 00:42:00,2184.0,2115.0,2016.0,43.0,56.0,Seal Failure,0.0,No Downtime,517.3,13673.0,1.03,2271.49,2120.77,93.36,90.0,Pass,27.0,42.5,MilkyWay Co-op,DRY-2409-86244,No
BAT-104115,Bengaluru,BL-03,MC-BL-03-4,Dairy,Milk_1L,C,SUP-BE-43,2024-09-05 02:45:00, 2024-09-05 04:44:00 ,3346.0,2518.0,2327.0,73.0,118.0, Damaged Pack ,30.0,Changeover,638.9,7518.0,1.03,2622.0,2472.0,94.28,78.3,Fail,26.0,44.1,FreshFarm Dairies, DRY-2409-61851 ,Yes
 BAT-106755 ,Hyderabad,HY-01,MC-HY-01-6,PersonalCare,Soap_100g,C,SUP-HY-26,2024-09-05 07:45:00,2024-09-05 08:55:00,1360.0,902.0,846.0,25.0,31.0,Weight Out of Spec,25.0,Sensor Calibration,233.7,3442.0,0.11,102.59,95.81,93.39,82.9,Conditional Pass,28.5,48.5,HerbalEssence Supply,PSC-2409-29397,Yes
BAT-103273,Hyderabad,HY-02,MC-HY-02-1,Dairy,Yogurt_150g,A,SUP-HY-62,2024-09-05 09:00:00,2024-09-05 10:26:00,1883.0,1915.0,1829.0,31.0,55.0,Overfill,0.0,No Downtime,343.8,7456.0,0.165,329.76,306.9,93.07,90.3,Pass,25.5,45.9,MilkyWay Co-op,DRY-2409-28003,No
BAT-106257,Bengaluru,BL-01,MC-BL-01-5,Beverages,RTD_Tea_250ml,A,SUP-BE-38,2024-09-05 09:45:00,2024-09-05 11:12:00,1945.0,1183.0,1109.0,25.0,49.0,Contamination Risk,36.0,Sensor Calibration,219.2,6576.0,0.27,334.37,306.18,91.57,82.0,Conditional Pass,25.7,57.6,AquaPure Pvt Ltd,BEV-2409-87766,Yes
BAT-105199,Hyderabad, HY-01 ,MC-HY-01-5,PersonalCare,Shampoo_250ml,A,SUP-HY-97,2024-09-05 13:15:00,2024-09-05 15:33:00,2601.0,2485.0,2402.0,27.0,56.0,Label Misprint,0.0,NO DOWNTIME,482.9,10030.0,0.28,704.64,680.12,96.52,93.0,Pass,28.4,38.0,AromaLabs,PSC-2409-36866,No
BAT-104662,Hyderabad,HY-02,MC-HY-02-1,PersonalCare,Shampoo_250ml,A,SUP-HY-69,2024-09-05 14:45:00,2024-09-05 15:41:00,1496.0,1531.0,1457.0,38.0,36.0,Label Misprint,0.0,No Downtime,257.3,3506.0,0.28,448.85,418.6,93.26,94.4,Pass,25.8,54.7,AromaLabs,PSC-2409-87630,No
BAT-100106,Chennai,CH-02,MC-CH-02-4,Dairy,Yogurt_150g,A,SUP-CH-23,2024-09-05 15:45:00,2024-09-05 17:27:00,1801.0,1729.0,1658.0,24.0,47.0,Overfill,0.0,No Downtime,456.1,5937.0,0.165,301.91,277.53,91.92,89.6,Conditional Pass,32.1,72.9,MilkyWay Co-op,DRY-2409-26899,No
BAT-106875,Bengaluru,BL-03, MC-BL-03-6 ,HomeCare,Dishwash_500ml,B,SUP-BE-93,2024-09-05 16:30:00,2024-09-05 17:33:00,1351.0,1318.0,1283.0,12.0,23.0,Label Misprint,0.0,No Downtime,347.8,2802.0,0.56,746.74,725.2,97.12,92.7,Pass,25.6,57.6, ChemBlend Industries , HMC-2409-37190 ,NO
BAT-107160,Chennai,CH-02,MC-CH-02-6,PERSONALCARE,Shampoo_250ml,B,SUP-CH-75,2024-09-05 17:15:00,2024-09-05 19:35:00,,2908.0,2804.0,27.0,77.0,Overfill,0.0,No Downtime,748.5,8178.0,0.28,827.6,792.68,95.78,93.2,Pass,27.5,64.5,CareChem Solutions,PSC-2409-42491,No
BAT-101495,Chennai,CH-03,MC-CH-03-6,Beverages,SparklingWater_500ml,B,SUP-CH-82,2024-09-05 18:00:00,2024-09-05 19:06:00,1578.0,1522.0,1478.0,7.0,37.0,Weight Out of Spec,0.0,NO DOWNTIME,346.1,5528.0,0.52,806.2,772.2,95.78,92.9,Pass,33.3,72.5,CitrusCo Ingredients,BEV-2409-85295,No
BAT-106218,Chennai,CH-02,MC-CH-02-6, Beverages ,Juice_1L,B,SUP-CH-36,2024-09-05 18:00:00,2024-09-05 19:15:00,,1614.0,1525.0,44.0,45.0,Underfill,12.0,Mechanical Jam,459.4,5447.0,1.05,1722.85,1647.45,95.62,85.4,Conditional Pass,30.7,66.4,TeaLeaf Traders,BEV-2409-92776,No
BAT-100123,Chennai,CH-03,MC-CH-03-4,Dairy,Milk_1L,B,SUP-CH-84,2024-09-05 18:00:00,2024-09-05 19:25:00,2218.0,1640.0,1550.0,26.0,64.0,Contamination Risk,24.0,Sensor Calibration,244.9,,1.03,1719.88,1623.28,94.38,79.6,Fail,29.0,63.1,MilkyWay Co-op, DRY-2409-86269 ,YES
BAT-103857,Bengaluru,BL-02,MC-BL-02-6,Beverages,RTD_Tea_250ml,B,SUP-BE-70,2024-09-05 18:15:00,2024-09-05 19:20:00,1829.0,1369.0,1308.0,17.0,44.0,Seal Failure,15.0,Mechanical Jam,170.5,,0.27,375.22,357.75,95.34,83.4,Conditional Pass,28.9,63.0,TeaLeaf Traders,BEV-2409-72981,No
BAT-105244,Bengaluru,BL-02,MC-BL-02-4,Snacks,CHIPS_50G,B,SUP-BE-18,2024-09-05 18:45:00,2024-09-05 19:55:00,3052.0,2928.0,2815.0,13.0,100.0,Damaged Pack,0.0,No Downtime,437.9,5713.0,0.055,165.34,155.54,94.07,88.9,Conditional Pass,23.8,52.2,CrunchWorks,SNK-2409-16832,No
BAT-103517,Hyderabad,HY-01,MC-HY-01-1,Beverages,SparklingWater_500ml,B, SUP-HY-26 ,2024-09-05 23:00:00, 2024-09-06 00:58:00 ,2849.0,2699.0,2610.0,22.0,67.0,Underfill,0.0,No Downtime,747.0,8992.0,0.52,1427.16,1368.64,95.9,93.8, Pass ,32.5,61.2,AquaPure Pvt Ltd,BEV-2409-55334,No
BAT-103437,Bengaluru,BL-01,MC-BL-01-1,Dairy,Yogurt_150g,C,SUP-BE-54,2024-09-06 00:15:00,2024-09-06 01:26:00,1422.0,1020.0,958.0,26.0,36.0,Seal Failure,22.0,Mechanical Jam,189.5,6995.0,0.165,176.6,162.36,91.94,79.8,Fail,23.0,51.3,MilkyWay Co-op,DRY-2409-10630,Yes
BAT-107029,Hyderabad,HY-02,MC-HY-02-2,Dairy,Yogurt_150g,C,SUP-HY-97,2024-09-06 01:00:00,2024-09-06 02:51:00,1760.0,1225.0,1131.0,38.0,56.0,Contamination Risk,32.0, Changeover ,277.9,10449.0,0.165,209.69,192.89,91.99,72.0, Fail ,33.7,44.5,FreshFarm Dairies,DRY-2409-60852,YES
BAT-101302,Bengaluru,BL-02,MC-BL-02-1,Dairy,Milk_1L,C,SUP-BE-86,2024-09-06 05:15:00,2024-09-06 06:02:00,1151.0,798.0,751.0,20.0,27.0,Damaged Pack,15.0,Planned Cleaning,135.4,2975.0,1.03,842.95,794.13,94.21,82.3,Conditional Pass,24.6,56.6,FreshFarm Dairies,DRY-2409-12073,No
BAT-102621,HYDERABAD,HY-02,MC-HY-02-5,Snacks,Cookies_200g,C,SUP-HY-29, 2024-09-06 05:45:00 ,2024-09-06 06:31:00,1849.0,1300.0,1218.0,25.0,57.0,Damaged Pack,14.0,Sensor Calibration,156.2,1565.0,0.215,291.27,267.25,91.75,81.0,CONDITIONAL PASS,30.7,56.9,GoldenGrain Mills,SNK-2409-57035,No
BAT-103165,Hyderabad,HY-01,MC-HY-01-5,Dairy,Milk_1L, A ,SUP-HY-89,2024-09-06 08:30:00,2024-09-06 09:25:00,1399.0,920.0,864.0,23.0,33.0,Contamination Risk,19.0,Changeover,269.7,5614.0,1.03,964.93,913.61,94.68,84.5,Conditional Pass,31.9,41.8,MILKYWAY CO-OP,DRY-2409-54884,No
BAT-105984,Bengaluru,BL-02,MC-BL-02-2,PersonalCare,Toothpaste_150g,A,SUP-BE-62,2024-09-06 09:45:00,2024-09-06 11:25:00,1755.0,1492.0,1403.0,37.0,52.0,Contamination Risk,16.0,Sensor Calibration,551.0,6164.0,0.19,296.59,273.6,92.25,83.0,Conditional Pass,26.8,37.7,HerbalEssence Supply,PSC-2409-81655,No
 BAT-101557 ,Hyderabad,HY-01,MC-HY-01-1,Beverages,RTD_Tea_250ml,A,SUP-HY-76,2024-09-06 11:15:00,2024-09-06 13:12:00,2327.0,2026.0,1912.0,47.0,67.0,Underfill,14.0, Planned Cleaning ,525.5,8319.0,0.27,563.12,528.93,93.93,86.7,Conditional Pass,29.9,53.9,TeaLeaf Traders,BEV-2409-78217,No
BAT-106876,Bengaluru,BL-01,MC-BL-01-3,PERSONALCARE,Shampoo_250ml,B,SUP-BE-22,2024-09-06 18:30:00,2024-09-06 20:21:00,2604.0,2030.0,1923.0,34.0,73.0,Weight Out of Spec,24.0, Mechanical Jam ,290.7,5985.0,0.28,582.89,547.96,94.01,79.5,Fail,25.1,58.7,HerbalEssence Supply,PSC-2409-73304,Yes
BAT-103022,Chennai,CH-02,MC-CH-02-4,PersonalCare,Shampoo_250ml,B,SUP-CH-49,2024-09-06 20:30:00,2024-09-06 22:17:00,1635.0,1293.0,1210.0,32.0,51.0,Contamination Risk,23.0,Changeover,390.6,8167.0,0.28,369.39,347.76,94.14,80.0,Conditional Pass,30.2,,HerbalEssence Supply,PSC-2409-98309,No
BAT-100408,Bengaluru,BL-02,MC-BL-02-1,Beverages,SparklingWater_500ml,B,SUP-BE-18,2024-09-06 21:30:00,2024-09-06 22:35:00,1364.0,1386.0,,17.0,25.0,Label Misprint,0.0,No Downtime,253.9,7085.0,0.52,740.04,707.72,95.63,92.6,Pass,26.6,64.7,TeaLeaf Traders,BEV-2409-31137,No
 BAT-106941 ,Chennai,CH-04,MC-CH-04-1, Beverages ,SparklingWater_500ml,C,SUP-CH-92,2024-09-07 01:30:00,2024-09-07 02:43:00,2316.0,1869.0,1782.0,38.0,49.0,Contamination Risk,16.0,CHANGEOVER,226.8,5070.0,0.52,1002.48,946.4,94.41,86.6,Conditional Pass,31.7,82.8,TeaLeaf Traders,BEV-2409-21442,NO
BAT-105006,Chennai,CH-02,MC-CH-02-5,Beverages,Juice_1L,C,SUP-CH-48,2024-09-07 03:45:00,2024-09-07 05:32:00,2632.0,2098.0,1997.0,30.0,71.0,Overfill,21.0,Power Fluctuation,425.7,11457.0,1.05,2254.15,2128.35,94.42,82.3,Conditional Pass,27.1,64.5, AquaPure Pvt Ltd ,BEV-2409-63962,Yes
BAT-107112,Pune,PN-02,MC-PN-02-5,Snacks,Chips_50g,C,SUP-PU-73,2024-09-07 05:15:00,2024-09-07 06:22:00,2524.0,2287.0,2193.0,20.0,74.0,Underfill,4.0,Power Fluctuation,304.9,4510.0,0.055,131.54,121.72,92.53,86.5,Conditional Pass,25.5,60.8,CrunchWorks,SNK-2409-84097,No
BAT-104696,Hyderabad,HY-02,MC-HY-02-1,PersonalCare,Soap_100g,C,SUP-HY-54,2024-09-07 05:30:00,2024-09-07 07:29:00,3199.0,3203.0,3067.0,51.0,85.0,Overfill,0.0,No Downtime,423.9,6436.0,0.11,,342.98,95.2,91.8,PASS,28.5,51.8,AromaLabs,PSC-2409-57356, No 
 BAT-104937 ,Chennai,CH-01,MC-CH-01-2,PersonalCare,Toothpaste_150g,C,SUP-CH-59,2024-09-07 07:45:00,2024-09-07 08:56:00,1857.0,1744.0,1687.0,21.0,36.0,Label Misprint,0.0,No Downtime,313.9,3862.0,0.19,345.01,324.52,,91.0,Pass,30.7,67.8,HerbalEssence Supply,PSC-2409-80060,No
BAT-102134,Chennai,CH-03,MC-CH-03-2,Snacks,Cookies_200g,A,SUP-CH-66,2024-09-07 08:30:00,2024-09-07 09:56:00,2238.0,2043.0,,18.0,67.0,Overfill,5.0,Mechanical Jam,459.7,3636.0,0.215,463.19,424.84,91.72,86.4, Conditional Pass ,27.5,75.0,CRUNCHWORKS,SNK-2409-96202,No
